ID,VendorID,CartrigeTypeID,Name,NameLocal,PartNumber,Resourse,ItemsInPack,CartrigeColorID,Added,Updated,Description,MaxWriteOffSpeed,AvgWriteOffSpeed,UserUpdated,LastWriteOffDate,LastWriteOffQuantity,SumQuantity,GoodsNumber,LocalName,ReportName,ShowInNeedToBuy,Barcode,Hidden
58,8,3,"Aficio 1015, 1018, 1018D, 1113",,888095,60000,1,2,19-дек-05,06-июл-11,Type 19,0,0,,30-дек-99,0,0,,Девелопер черный Ricoh: 888095,Девелопер черный Ricoh: 888095,ЛОЖЬ,,ЛОЖЬ
59,8,1,"Aficio 1224C, 1232C",,885322,17000,1,5,15-дек-05,07-июл-11,Type M2,0,0,,30-дек-99,0,0,,Картридж желтый Ricoh: 885322,Картридж желтый Ricoh: 885322,ЛОЖЬ,,ЛОЖЬ
60,8,1,"Aficio 1224C, 1232C",,885323,17000,1,4,15-дек-05,07-июл-11,Type M2,0,0,,30-дек-99,0,0,,Картридж пурпурный Ricoh: 885323,Картридж пурпурный Ricoh: 885323,ЛОЖЬ,,ЛОЖЬ
61,8,1,"Aficio 1224C, 1232C",,885324,17000,1,3,15-дек-05,07-июл-11,Type M2,0,0,,30-дек-99,0,0,,Картридж голубой Ricoh: 885324,Картридж голубой Ricoh: 885324,ЛОЖЬ,,ЛОЖЬ
62,8,1,"Aficio 1224C, 1232C",,885321 ,25000,1,2,15-дек-05,07-июл-11,Type M2,0,0,,30-дек-99,0,0,,Картридж черный Ricoh: 885321 ,Картридж черный Ricoh: 885321 ,ЛОЖЬ,,ЛОЖЬ
63,3,2,"IR-1600, 1605, 2000",,6836A002,7850,2,2,22-дек-05,20-июн-11,,0,0,,30-дек-99,0,0,,Тонер черный Canon: 6836A002,Тонер черный Canon: 6836A002,ЛОЖЬ,,ЛОЖЬ
64,5,1,"Stylus Color 3000, Pro 5000",,C13S020122,3000,1,5,15-дек-05,02-июл-11,,0,0,,30-дек-99,0,0,,Картридж желтый Epson: C13S020122,Картридж желтый Epson: C13S020122,ЛОЖЬ,,ЛОЖЬ
65,5,1,"Stylus Color 3000, Pro 5000",,C13S020118,3000,1,2,15-дек-05,02-июл-11,,0,0,,30-дек-99,0,0,,Картридж черный Epson: C13S020118,Картридж черный Epson: C13S020118,ЛОЖЬ,,ЛОЖЬ
66,5,1,Stylus Color 3000,,C13S020130,3000,1,3,15-дек-05,02-июл-11,,0,0,,30-дек-99,0,0,,Картридж голубой Epson: C13S020130,Картридж голубой Epson: C13S020130,ЛОЖЬ,,ЛОЖЬ
67,5,1,Stylus Color 3000,,C13S020126,3000,1,4,15-дек-05,02-июл-11,,0,0,,30-дек-99,0,0,,Картридж пурпурный Epson: C13S020126,Картридж пурпурный Epson: C13S020126,ЛОЖЬ,,ЛОЖЬ
68,5,1,Stylus Photo 1200,,C13T001011,330,1,1,01-ноя-05,05-июл-11,,0,0,,30-дек-99,0,0,,Картридж цветной Epson: C13T001011,Картридж цветной Epson: C13T001011,ЛОЖЬ,,ЛОЖЬ
